title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Se Acabo El Abuso: La Historia De Mi Vida El Final, Vol.1","Anthony Santos","Se Acabo El Abuso: La Historia De Mi Vida El Final, Vol.1",TCAEH1940927,spotify,3ocPf13AZvX6QlNuQf6RVV,249s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3ocPf13AZvX6QlNuQf6RVV
"De Que Vale",Jiory,"Money, Sex & Love",TCADR1824197,spotify,1YpGWLJjQCbKUz97fN261Q,235s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1YpGWLJjQCbKUz97fN261Q
"No Me Importa, No","Frank Reyes","Te Regalo el Mar",US3Z40700316,spotify,0hnLXmyTIWHBiFUwV33A2q,221s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0hnLXmyTIWHBiFUwV33A2q
"Te Comencé a Querer","Tito ""El Bambino""","El Patrón",TCACF1561365,spotify,4GMo0KZwMlMg7hBmbmAqmn,210s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4GMo0KZwMlMg7hBmbmAqmn
"Me Preguntas","Juan Luis Guerra 4.40",Literal,QM8961900056,spotify,1U7onzKQl5rTrfjvdjEaV9,184s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1U7onzKQl5rTrfjvdjEaV9
"Aún No Es Tarde","Henry Santos","Shut Up & Listen",QM4TX1812089,spotify,4y10P06aOJBnBzfJczW5z5,216s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4y10P06aOJBnBzfJczW5z5
"Yo Soy el Loco Aquel",J'Martin,"Mi Tiempo",USASN1500180,spotify,3wse0l8jsIDF5IlA7jNca0,248s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3wse0l8jsIDF5IlA7jNca0
"Ni una Lágrima Más",J'Martin,"Mi Tiempo",USASN1500185,spotify,7s07hfa7bF77gBQzKzopHt,238s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7s07hfa7bF77gBQzKzopHt
"Decir Adiós",J'Martin,"Mi Tiempo",USASN1500178,spotify,25XBqZGwVwRhYmFckTNhka,218s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/25XBqZGwVwRhYmFckTNhka
"Vas a Quedarte (Versión Bachata)","DJ Khalid, Milena Dominique","Vas a Quedarte (Versión Bachata)",TCAEF1943357,spotify,3l0skL62In77pHXzD4c8j8,239s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3l0skL62In77pHXzD4c8j8
"Amante Perfecta","Voz A Voz","Amante Perfecta",SE5VF1900081,spotify,6bgZwHZ3O8V7n4uPaXNUtN,212s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/6bgZwHZ3O8V7n4uPaXNUtN
"Dime Porque","Bachata Heightz","Lost in the Music",TCACU1604511,spotify,0jvb0QhA6D4QMNeADIExlF,216s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0jvb0QhA6D4QMNeADIExlF
Perfect,Johandy,Perfect,USCGH1852301,spotify,7L63U97edbJvgwrUYeN1oL,263s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7L63U97edbJvgwrUYeN1oL
"Te Perdiste Mi Amor (feat. Prince Royce)","Thalia, Prince Royce","Habítame Siempre",USSD11200324,spotify,58GkmJOya3YXwoPl961sRn,220s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/58GkmJOya3YXwoPl961sRn
"Ya No Hay Amor","Pipe Calderón, Lil Kissy","Ya No Hay Amor",US6R21479126,spotify,28BbwX6afhn8OXxgsQ6njc,219s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/28BbwX6afhn8OXxgsQ6njc
"Tu Tienes Tu Vida","Judy Santos","Tu Tienes Tu Vida",USBMS1500323,spotify,16tcEwwSVhMr4nENsq0Qe4,209s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/16tcEwwSVhMr4nENsq0Qe4
Secreto,"Judy Santos",Secreto,USBMS1700343,spotify,2d1xiDGyQIJxsOc1hEqel9,197s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2d1xiDGyQIJxsOc1hEqel9
"Falso Amor","Solo 2","Solo 2 State of Mind",TCADZ1849077,spotify,5x2O11Wj0yNR5nAYogiGaP,197s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5x2O11Wj0yNR5nAYogiGaP
"Amor Por Dentro","Solo 2","Solo 2 State of Mind",TCADZ1849079,spotify,0wygw5pRA0HyoxSjqdnI0n,250s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0wygw5pRA0HyoxSjqdnI0n
"Va a Ser Abuela",Farruko,"TMPR The Most Powerful Rookie",QMHUY1558416,spotify,7zQ42TLChYE29oJiyoWUIK,233s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7zQ42TLChYE29oJiyoWUIK
Monumento,Esme,Monumento,QMFKL1400002,spotify,0tRw90HgmuB2u2qw12XwzP,212s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0tRw90HgmuB2u2qw12XwzP
"DEL MAR - bachata version","Javier Abreu","DEL MAR (bachata version)",QZDA72161349,spotify,1rugiLpIvftwDTj5yxE6L4,172s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1rugiLpIvftwDTj5yxE6L4
Volvió,"Grupo Extra, Ataca, La Alemana, El Tiguere","It´s Bachata Time",TCAEQ2099663,spotify,4NqzlNd1ItsbnR3T1DJdQO,216s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4NqzlNd1ItsbnR3T1DJdQO
"Traiciónalo Conmigo","Henry Santos","Traiciónalo Conmigo",QM6MZ2012980,spotify,5NmKNwXMyZiWcPlL6QcXUT,225s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/5NmKNwXMyZiWcPlL6QcXUT
"Mi Vida","Daniel Agostini","Mi Vida",ART0G2000920,spotify,4cH9UscAi3VNBUjSta97l5,224s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4cH9UscAi3VNBUjSta97l5
"Así Fue",Dama,"Así Fue",ES71G2033594,spotify,2kSxqghYaZwN0eNrTlTVWm,223s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2kSxqghYaZwN0eNrTlTVWm
"Como yo","Luis Segura, Romeo Santos","El Papá De La Bachata, Su Legado - Añoñado 4",QZFYW2137746,spotify,7e8YLvT64gR7O3DlZ3VQCD,203s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7e8YLvT64gR7O3DlZ3VQCD
Bipolar,"Dani J, Dama",Bipolar,ES19S2100002,spotify,2mZr6mlxnH4r7hudBfFQOI,239s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2mZr6mlxnH4r7hudBfFQOI
"Una Bachata","Manuel González (Ex Rebujito), Saray Jiménez","Una Bachata",ES45D1900051,spotify,1QqL8cIYmMRzHV9Be6OuLD,172s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/1QqL8cIYmMRzHV9Be6OuLD
